Año ,Mes,Dia ,Hora,Velocidad ,Direccion  
2016,9,19,17,3.36,238
2016,9,19,18,3.28,229
2016,9,19,19,3.1,208
2016,9,19,20,2.73,127
2016,9,19,21,2.91,45
2016,9,19,22,3.07,236
2016,9,19,23,3.18,238
2016,9,19,24,3.01,228
2016,9,20,1,3.21,256
2016,9,20,2,2.91,240
2016,9,20,3,3.09,233
2016,9,20,4,2.89,222
2016,9,20,5,3.18,222
2016,9,20,6,3.42,222
2016,9,20,7,2.74,305
2016,9,20,8,2.67,232
2016,9,20,9,3.8,223
2016,9,20,10,3.29,283
2016,9,20,11,3.53,250
2016,9,20,12,2.88,62
2016,9,20,13,2.75,81
2016,9,20,14,2.25,77
2016,9,20,15,2.94,229
2016,9,20,16,2.77,35
2016,9,20,17,2.37,4
2016,9,20,18,3.28,38
2016,9,20,19,3,74
2016,9,20,20,3.25,72
2016,9,20,21,2.69,227
2016,9,20,22,3.05,79
2016,9,20,23,3.24,78
2016,9,20,24,3.06,234
2016,9,21,1,2.64,252
2016,9,21,2,3.05,341
2016,9,21,3,2.89,222
2016,9,21,4,3.47,229
2016,9,21,5,2.9,347
2016,9,21,6,2.86,56
2016,9,21,7,3.06,260
2016,9,21,8,2.71,352
2016,9,21,9,3.9,229
2016,9,21,10,2.55,227
2016,9,21,11,2.63,254
2016,9,21,12,2.7,27
2016,9,21,13,2.2,52
2016,9,21,14,2.83,44
2016,9,21,15,2.18,232
2016,9,21,16,2.08,246
2016,9,21,17,2.31,246
2016,9,21,18,2.53,88
2016,9,21,19,3.35,72
2016,9,21,20,3.33,303
2016,9,21,21,3.77,237
2016,9,21,22,2.7,220
2016,9,21,23,2.78,13
2016,9,21,24,2.36,28
2016,9,22,1,2.46,65
2016,9,22,2,3.51,54
2016,9,22,3,2.58,232
2016,9,22,4,2.5,211
2016,9,22,5,2.4,238
2016,9,22,6,2.77,35
2016,9,22,7,2.9,66
2016,9,22,8,2.48,223
2016,9,22,9,2.65,246
2016,9,22,10,3.02,55
2016,9,22,11,2.41,220
2016,9,22,12,2.13,94
2016,9,22,13,2.93,77
2016,9,22,14,2.35,78
2016,9,22,15,2.7,73
2016,9,22,16,3.32,56
2016,9,22,17,3.02,54
2016,9,22,18,3.23,240
2016,9,22,19,3.47,56
2016,9,22,20,3.34,71
2016,9,22,21,2.76,81
2016,9,22,22,2.4,232
2016,9,22,23,2.48,229
2016,9,22,24,3.15,55
2016,9,23,1,3.16,67
2016,9,23,2,3.13,76
2016,9,23,3,2.79,71
2016,9,23,4,3.6,227
2016,9,23,5,3.29,65
2016,9,23,6,3.22,84
2016,9,23,7,2.97,74
2016,9,23,8,2.3,260
2016,9,23,9,2.42,59
2016,9,23,10,2.6,254
2016,9,23,11,2.3,295
2016,9,23,12,2.51,89
2016,9,23,13,2.66,57
2016,9,23,14,2.99,65
2016,9,23,15,3.1,77
2016,9,23,16,2.46,63
2016,9,23,17,2.24,54
2016,9,23,18,2.97,58
2016,9,23,19,3.06,69
2016,9,23,20,3.36,69
2016,9,23,21,3.33,57
2016,9,23,22,2.79,72
2016,9,23,23,1.96,48
2016,9,23,24,2.55,217
2016,9,24,1,2.72,59
2016,9,24,2,2.39,241
2016,9,24,3,2.33,16
2016,9,24,4,2.98,30
2016,9,24,5,3.65,52
2016,9,24,6,2.85,69
2016,9,24,7,3.97,218
2016,9,24,8,4.11,70
2016,9,24,9,3.37,65
2016,9,24,10,3.77,49
2016,9,24,11,3.2,223
2016,9,24,12,2.9,79
2016,9,24,13,2.69,46
2016,9,24,14,2.83,67
2016,9,24,15,3.03,60
2016,9,24,16,3.08,48
2016,9,24,17,3.78,78
2016,9,24,18,2.96,85
2016,9,24,19,2.67,71
2016,9,24,20,2.68,74
2016,9,24,21,2.8,35
2016,9,24,22,2.7,78
2016,9,24,23,2.63,69
2016,9,24,24,3.62,46
2016,9,25,1,2.63,58
2016,9,25,2,3.16,230
2016,9,25,3,3.16,222
2016,9,25,4,3.28,222
2016,9,25,5,2.4,255
2016,9,25,6,2.6,86
2016,9,25,7,2.38,226
2016,9,25,8,2.61,246
2016,9,25,9,2.73,231
2016,9,25,10,3.13,47
2016,9,25,11,3.35,80
2016,9,25,12,3.09,71
2016,9,25,13,2.87,235
2016,9,25,14,3.35,64
2016,9,25,15,2.75,100
2016,9,25,16,3.08,54
2016,9,25,17,3.53,72
2016,9,25,18,3.19,64
2016,9,25,19,2.73,242
2016,9,25,20,2.65,81
2016,9,25,21,3.12,226
2016,9,25,22,3.05,252
2016,9,25,23,3.03,227
2016,9,25,24,2.88,228
2016,9,26,1,3.05,225
